CRIM ZN INDUS CHAS NOX RM AGE DIS RAD TAX PT_RATIO LSTAT MEDV
0.1 0 5.96 0 0.5 5.84 61.4 3.38 5 279 19.2 11.41 20
0.08 0 5.96 0 0.5 5.85 41.5 3.93 5 279 19.2 8.77 21
0.18 0 5.96 0 0.5 5.97 30.2 3.85 5 279 19.2 10.13 24.7
0.03 75 2.95 0 0.43 6.6 21.8 5.4 3 252 18.3 4.32 30.8
0.03 75 2.95 0 0.43 7.02 15.8 5.4 3 252 18.3 1.98 34.9
0.13 0 6.91 0 0.45 6.77 2.9 5.72 3 233 17.9 4.84 26.6
0.14 0 6.91 0 0.45 6.17 6.6 5.72 3 233 17.9 5.81 25.3
0.16 0 6.91 0 0.45 6.21 6.5 5.72 3 233 17.9 7.44 24.7
0.12 0 6.91 0 0.45 6.07 40 5.72 3 233 17.9 9.55 21.2
0.17 0 6.91 0 0.45 5.68 33.8 5.1 3 233 17.9 10.21 19.3
0.19 0 6.91 0 0.45 5.79 33.3 5.1 3 233 17.9 14.15 20
0.23 0 6.91 0 0.45 6.03 85.5 5.69 3 233 17.9 18.8 16.6
0.25 0 6.91 0 0.45 5.4 95.3 5.87 3 233 17.9 30.81 14.4
0.22 0 6.91 0 0.45 5.6 62 6.09 3 233 17.9 16.2 19.4
0.09 21 5.64 0 0.44 5.96 45.7 6.81 4 243 16.8 13.45 19.7
0.04 21 5.64 0 0.44 6.12 63 6.81 4 243 16.8 9.43 20.5
0.05 21 5.64 0 0.44 6.51 21.1 6.81 4 243 16.8 5.28 25
0.05 21 5.64 0 0.44 6 21.4 6.81 4 243 16.8 8.43 23.4
0.01 75 4 0 0.41 5.89 47.6 7.32 3 469 21.1 14.8 18.9
0.01 90 1.22 0 0.4 7.25 21.9 8.7 5 226 17.9 4.81 35.4
0.02 85 0.74 0 0.41 6.38 35.7 9.19 2 313 17.3 5.77 24.7
0.01 100 1.32 0 0.41 6.82 40.5 8.32 5 256 15.1 3.95 31.6
0.15 25 5.13 0 0.45 6.15 29.2 7.81 8 284 19.7 6.86 23.3
0.1 25 5.13 0 0.45 5.93 47.2 6.93 8 284 19.7 9.22 19.6
0.15 25 5.13 0 0.45 5.74 66.2 7.23 8 284 19.7 13.15 18.7
0.17 25 5.13 0 0.45 5.97 93.4 6.82 8 284 19.7 14.44 16
0.11 25 5.13 0 0.45 6.46 67.8 7.23 8 284 19.7 6.73 22.2
0.13 25 5.13 0 0.45 6.76 43.4 7.98 8 284 19.7 9.5 25
0.02 17.5 1.38 0 0.42 7.1 59.5 9.22 3 216 18.6 8.05 33
0.04 80 3.37 0 0.4 6.29 17.8 6.61 4 337 16.1 4.67 23.5
0.04 80 3.37 0 0.4 5.79 31.1 6.61 4 337 16.1 10.24 19.4
0.06 12.5 6.07 0 0.41 5.88 21.4 6.5 4 345 18.9 8.1 22
0.14 12.5 6.07 0 0.41 5.59 36.8 6.5 4 345 18.9 13.09 17.4
0.13 12.5 6.07 0 0.41 5.89 33 6.5 4 345 18.9 8.79 20.9
0.09 0 10.81 0 0.41 6.42 6.6 5.29 4 305 19.2 6.72 24.2
0.16 0 10.81 0 0.41 5.96 17.5 5.29 4 305 19.2 9.88 21.7
0.09 0 10.81 0 0.41 6.07 7.8 5.29 4 305 19.2 5.52 22.8
0.2 0 10.81 0 0.41 6.25 6.2 5.29 4 305 19.2 7.54 23.4
0.08 0 12.83 0 0.44 6.27 6 4.25 5 398 18.7 6.78 24.1
0.1 0 12.83 0 0.44 6.29 45 4.5 5 398 18.7 8.94 21.4
0.1 0 12.83 0 0.44 6.28 74.5 4.05 5 398 18.7 11.97 20
0.09 0 12.83 0 0.44 6.14 45.8 4.09 5 398 18.7 10.27 20.8
0.06 0 12.83 0 0.44 6.23 53.7 5.01 5 398 18.7 12.34 21.2
0.08 0 12.83 0 0.44 5.87 36.6 4.5 5 398 18.7 9.1 20.3
0.04 25 4.86 0 0.43 6.73 33.5 5.4 4 281 19 5.29 28
0.04 25 4.86 0 0.43 6.62 70.4 5.4 4 281 19 7.22 23.9
0.04 25 4.86 0 0.43 6.3 32.2 5.4 4 281 19 6.72 24.8
0.04 25 4.86 0 0.43 6.17 46.7 5.4 4 281 19 7.51 22.9
0.05 0 4.49 0 0.45 6.39 48 4.78 3 247 18.5 9.62 23.9
0.06 0 4.49 0 0.45 6.63 56.1 4.44 3 247 18.5 6.53 26.6
0.05 0 4.49 0 0.45 6.02 45.1 4.43 3 247 18.5 12.86 22.5
0.07 0 4.49 0 0.45 6.12 56.8 3.75 3 247 18.5 8.44 22.2
0.06 0 3.41 0 0.49 7.01 86.3 3.42 2 270 17.8 5.5 23.6
0.05 0 3.41 0 0.49 7.08 63.1 3.41 2 270 17.8 5.7 28.7
0.05 0 3.41 0 0.49 6.42 66.1 3.09 2 270 17.8 8.81 22.6
0.04 0 3.41 0 0.49 6.41 73.9 3.09 2 270 17.8 8.2 22
0.04 28 15.04 0 0.46 6.44 53.6 3.67 4 270 18.2 8.16 22.9
0.03 28 15.04 0 0.46 6.21 28.9 3.67 4 270 18.2 6.21 25
0.04 28 15.04 0 0.46 6.25 77.3 3.62 4 270 18.2 10.59 20.6
0.12 0 2.89 0 0.45 6.63 57.8 3.5 2 276 18 6.65 28.4
0.12 0 2.89 0 0.45 6.16 69.6 3.5 2 276 18 11.34 21.4
0.12 0 2.89 0 0.45 8.07 76 3.5 2 276 18 4.21 38.7
0.08 0 2.89 0 0.45 7.82 36.9 3.5 2 276 18 3.57 43.8
0.07 0 2.89 0 0.45 7.42 62.5 3.5 2 276 18 6.19 33.2
0.15 0 8.56 0 0.52 6.73 79.9 2.78 5 384 20.9 9.42 27.5
0.11 0 8.56 0 0.52 6.78 71.3 2.86 5 384 20.9 7.67 26.5
0.23 0 8.56 0 0.52 6.41 85.4 2.71 5 384 20.9 10.63 18.6
0.21 0 8.56 0 0.52 6.14 87.4 2.71 5 384 20.9 13.44 19.3
0.14 0 8.56 0 0.52 6.17 90 2.42 5 384 20.9 12.33 20.1
0.13 0 8.56 0 0.52 5.85 96.7 2.11 5 384 20.9 16.47 19.5
0.17 0 8.56 0 0.52 5.84 91.9 2.21 5 384 20.9 18.66 19.5
0.13 0 8.56 0 0.52 6.13 85.2 2.12 5 384 20.9 14.09 20.4
0.13 0 8.56 0 0.52 6.47 97.1 2.43 5 384 20.9 12.27 19.8
0.26 0 8.56 0 0.52 6.23 91.2 2.55 5 384 20.9 15.55 19.4
0.11 0 8.56 0 0.52 6.2 54.4 2.78 5 384 20.9 13 21.7
0.1 0 10.01 0 0.55 6.72 81.6 2.68 6 432 17.8 10.16 22.8
0.12 0 10.01 0 0.55 5.91 92.9 2.35 6 432 17.8 16.21 18.8
0.22 0 10.01 0 0.55 6.09 95.4 2.55 6 432 17.8 17.09 18.7
0.14 0 10.01 0 0.55 6.25 84.2 2.26 6 432 17.8 10.45 18.5
0.17 0 10.01 0 0.55 5.93 88.2 2.46 6 432 17.8 15.76 18.3
0.13 0 10.01 0 0.55 6.18 72.5 2.73 6 432 17.8 12.04 21.2
0.15 0 10.01 0 0.55 6.02 82.6 2.75 6 432 17.8 10.3 19.2
0.13 0 10.01 0 0.55 5.87 73.1 2.48 6 432 17.8 15.37 20.4
0.14 0 10.01 0 0.55 5.73 65.2 2.76 6 432 17.8 13.61 19.3
0.07 0 25.65 0 0.58 5.87 69.7 2.26 2 188 19.1 14.37 22
0.07 0 25.65 0 0.58 6 84.1 2.2 2 188 19.1 14.27 20.3
0.09 0 25.65 0 0.58 5.96 92.9 2.09 2 188 19.1 17.93 20.5
0.15 0 25.65 0 0.58 5.86 97 1.94 2 188 19.1 25.41 17.3
0.1 0 25.65 0 0.58 5.88 95.8 2.01 2 188 19.1 17.58 18.8
0.17 0 25.65 0 0.58 5.99 88.4 1.99 2 188 19.1 14.81 21.4
0.39 0 25.65 0 0.58 5.61 95.6 1.76 2 188 19.1 27.26 15.7
0.26 0 21.89 0 0.62 5.69 96 1.79 4 437 21.2 17.19 16.2
0.33 0 21.89 0 0.62 6.43 98.8 1.81 4 437 21.2 15.39 18
0.88 0 21.89 0 0.62 5.64 94.7 1.98 4 437 21.2 18.34 14.3
0.34 0 21.89 0 0.62 6.46 98.9 2.12 4 437 21.2 12.6 19.2
1.19 0 21.89 0 0.62 6.33 97.7 2.27 4 437 21.2 12.26 19.6
0.59 0 21.89 0 0.62 6.37 97.9 2.33 4 437 21.2 11.12 23
0.33 0 21.89 0 0.62 5.82 95.4 2.47 4 437 21.2 15.03 18.4
0.98 0 21.89 0 0.62 5.76 98.4 2.35 4 437 21.2 17.31 15.6
0.56 0 21.89 0 0.62 6.34 98.2 2.11 4 437 21.2 16.96 18.1
0.32 0 21.89 0 0.62 5.94 93.5 1.97 4 437 21.2 16.9 17.4
0.35 0 21.89 0 0.62 6.45 98.4 1.85 4 437 21.2 14.59 17.1
0.25 0 21.89 0 0.62 5.86 98.2 1.67 4 437 21.2 21.32 13.3
0.54 0 21.89 0 0.62 6.15 97.9 1.67 4 437 21.2 18.46 17.8
0.29 0 21.89 0 0.62 6.17 93.6 1.61 4 437 21.2 24.16 14
1.63 0 21.89 0 0.62 5.02 100 1.44 4 437 21.2 34.41 14.4
3.32 0 19.58 1 0.87 5.4 100 1.32 5 403 14.7 26.82 13.4
4.1 0 19.58 0 0.87 5.47 100 1.41 5 403 14.7 26.42 15.6
2.78 0 19.58 0 0.87 4.9 97.8 1.35 5 403 14.7 29.29 11.8
2.38 0 19.58 0 0.87 6.13 100 1.42 5 403 14.7 27.8 13.8
2.16 0 19.58 0 0.87 5.63 100 1.52 5 403 14.7 16.65 15.6
2.37 0 19.58 0 0.87 4.93 95.7 1.46 5 403 14.7 29.53 14.6
2.33 0 19.58 0 0.87 5.19 93.8 1.53 5 403 14.7 28.32 17.8
2.73 0 19.58 0 0.87 5.6 94.9 1.53 5 403 14.7 21.45 15.4
1.66 0 19.58 0 0.87 6.12 97.3 1.62 5 403 14.7 14.1 21.5
1.5 0 19.58 0 0.87 5.4 100 1.59 5 403 14.7 13.28 19.6
1.13 0 19.58 1 0.87 5.01 88 1.61 5 403 14.7 12.12 15.3
2.15 0 19.58 0 0.87 5.71 98.5 1.62 5 403 14.7 15.79 19.4
1.41 0 19.58 1 0.87 6.13 96 1.75 5 403 14.7 15.12 17
3.54 0 19.58 1 0.87 6.15 82.6 1.75 5 403 14.7 15.02 15.6
2.45 0 19.58 0 0.87 5.27 94 1.74 5 403 14.7 16.14 13.1
1.22 0 19.58 0 0.61 6.94 97.4 1.88 5 403 14.7 4.59 41.3
1.34 0 19.58 0 0.61 6.07 100 1.76 5 403 14.7 6.43 24.3
1.43 0 19.58 0 0.87 6.51 100 1.77 5 403 14.7 7.39 23.3
1.27 0 19.58 1 0.61 6.25 92.6 1.8 5 403 14.7 5.5 27
1.46 0 19.58 0 0.61 7.49 90.8 1.97 5 403 14.7 1.73 50
1.83 0 19.58 1 0.61 7.8 98.2 2.04 5 403 14.7 1.92 50
1.52 0 19.58 1 0.61 8.38 93.9 2.16 5 403 14.7 3.32 50
2.24 0 19.58 0 0.61 5.85 91.8 2.42 5 403 14.7 11.64 22.7
2.92 0 19.58 0 0.61 6.1 93 2.28 5 403 14.7 9.81 25
2.01 0 19.58 0 0.61 7.93 96.2 2.05 5 403 14.7 3.7 50
1.8 0 19.58 0 0.61 5.88 79.2 2.43 5 403 14.7 12.14 23.8
2.3 0 19.58 0 0.61 6.32 96.1 2.1 5 403 14.7 11.1 23.8
2.45 0 19.58 0 0.61 6.4 95.2 2.26 5 403 14.7 11.32 22.3
1.21 0 19.58 0 0.61 5.88 94.6 2.43 5 403 14.7 14.43 17.4
2.31 0 19.58 0 0.61 5.88 97.3 2.39 5 403 14.7 12.03 19.1
0.14 0 4.05 0 0.51 5.57 88.5 2.6 5 296 16.6 14.69 23.1
0.09 0 4.05 0 0.51 6.42 84.1 2.65 5 296 16.6 9.04 23.6
0.08 0 4.05 0 0.51 5.86 68.7 2.7 5 296 16.6 9.64 22.6
0.07 0 4.05 0 0.51 6.55 33.1 3.13 5 296 16.6 5.33 29.4
0.07 0 4.05 0 0.51 6.02 47.2 3.55 5 296 16.6 10.11 23.2
0.05 0 4.05 0 0.51 6.32 73.4 3.32 5 296 16.6 6.29 24.6
0.07 0 4.05 0 0.51 6.86 74.4 2.92 5 296 16.6 6.92 29.9
0.06 0 2.46 0 0.49 6.98 58.4 2.83 3 193 17.8 5.04 37.2
0.07 0 2.46 0 0.49 7.77 83.3 2.74 3 193 17.8 7.56 39.8
0.07 0 2.46 0 0.49 6.14 62.2 2.6 3 193 17.8 9.45 36.2
0.09 0 2.46 0 0.49 7.16 92.2 2.7 3 193 17.8 4.82 37.9
0.1 0 2.46 0 0.49 6.56 95.6 2.85 3 193 17.8 5.68 32.5
0.08 0 2.46 0 0.49 5.6 89.8 2.99 3 193 17.8 13.98 26.4
0.06 0 2.46 0 0.49 6.15 68.8 3.28 3 193 17.8 13.15 29.6
0.06 0 2.46 0 0.49 7.83 53.6 3.2 3 193 17.8 4.45 50
0.08 45 3.44 0 0.44 6.78 41.1 3.79 5 398 15.2 6.68 32
0.13 45 3.44 0 0.44 6.56 29.1 4.57 5 398 15.2 4.56 29.8
0.08 45 3.44 0 0.44 7.19 38.9 4.57 5 398 15.2 5.39 34.9
0.09 45 3.44 0 0.44 6.95 21.5 6.48 5 398 15.2 5.1 37
0.07 45 3.44 0 0.44 6.74 30.8 6.48 5 398 15.2 4.69 30.5
0.09 45 3.44 0 0.44 7.18 26.3 6.48 5 398 15.2 2.87 36.4
0.02 60 2.93 0 0.4 6.8 9.9 6.22 1 265 15.6 5.03 31.1
0.01 60 2.93 0 0.4 6.6 18.8 6.22 1 265 15.6 4.38 29.1
0.01 80 0.46 0 0.42 7.88 32 5.65 4 255 14.4 2.97 50
0.04 80 1.52 0 0.4 7.29 34.1 7.31 2 329 12.6 4.08 33.3
0.05 80 1.52 0 0.4 7.11 36.6 7.31 2 329 12.6 8.61 30.3
0.04 80 1.52 0 0.4 7.27 38.3 7.31 2 329 12.6 6.62 34.6
0.03 95 1.47 0 0.4 6.98 15.3 7.65 3 402 17 4.56 34.9
0.02 95 1.47 0 0.4 7.14 13.9 7.65 3 402 17 4.45 32.9
0.03 82.5 2.03 0 0.42 6.16 38.4 6.27 2 348 14.7 7.43 24.1
0.02 82.5 2.03 0 0.42 7.61 15.7 6.27 2 348 14.7 3.11 42.3
0.04 95 2.68 0 0.42 7.85 33.2 5.12 4 224 14.7 3.81 48.5
0.02 95 2.68 0 0.42 8.03 31.9 5.12 4 224 14.7 2.88 50
0.14 0 10.59 0 0.49 5.89 22.3 3.95 4 277 18.6 10.87 22.6
0.23 0 10.59 0 0.49 6.33 52.5 4.35 4 277 18.6 10.97 24.4
0.25 0 10.59 0 0.49 5.78 72.7 4.35 4 277 18.6 18.06 22.5
0.14 0 10.59 1 0.49 6.06 59.1 4.24 4 277 18.6 14.66 24.4
0.44 0 10.59 1 0.49 5.34 100 3.88 4 277 18.6 23.09 20
0.17 0 10.59 1 0.49 5.96 92.1 3.88 4 277 18.6 17.27 21.7
0.38 0 10.59 1 0.49 5.4 88.6 3.67 4 277 18.6 23.98 19.3
0.22 0 10.59 1 0.49 5.81 53.8 3.65 4 277 18.6 16.03 22.4
0.14 0 10.59 0 0.49 6.38 32.3 3.95 4 277 18.6 9.38 28.1
0.29 0 10.59 0 0.49 5.41 9.8 3.59 4 277 18.6 29.55 23.7
0.2 0 10.59 0 0.49 6.18 42.4 3.95 4 277 18.6 9.47 25
0.05 0 13.89 1 0.55 5.89 56 3.11 5 276 16.4 13.51 23.3
0.07 0 13.89 0 0.55 6.64 85.1 3.42 5 276 16.4 9.69 28.7
0.11 0 13.89 1 0.55 5.95 93.8 2.89 5 276 16.4 17.92 21.5
0.11 0 13.89 1 0.55 6.37 92.4 3.36 5 276 16.4 10.5 23
0.36 0 6.2 1 0.51 6.95 88.5 2.86 8 307 17.4 9.71 26.7
0.41 0 6.2 1 0.51 6.16 91.3 3.05 8 307 17.4 21.46 21.7
0.62 0 6.2 1 0.51 6.88 77.7 3.27 8 307 17.4 9.93 27.5
0.61 0 6.2 0 0.51 6.62 80.8 3.27 8 307 17.4 7.6 30.1
0.32 0 6.2 0 0.5 8.27 78.3 2.89 8 307 17.4 4.14 44.8
0.53 0 6.2 0 0.5 8.73 83 2.89 8 307 17.4 4.63 50
0.38 0 6.2 0 0.5 8.04 86.5 3.22 8 307 17.4 3.13 37.6
0.41 0 6.2 0 0.5 7.16 79.9 3.22 8 307 17.4 6.36 31.6
0.3 0 6.2 0 0.5 7.69 17 3.38 8 307 17.4 3.92 46.7
0.44 0 6.2 0 0.5 6.55 21.4 3.38 8 307 17.4 3.76 31.5
0.54 0 6.2 0 0.5 5.98 68.1 3.67 8 307 17.4 11.65 24.3
0.46 0 6.2 0 0.5 7.41 76.9 3.67 8 307 17.4 5.25 31.7
0.58 0 6.2 0 0.51 8.34 73.3 3.84 8 307 17.4 2.47 41.7
0.33 0 6.2 0 0.51 8.25 70.4 3.65 8 307 17.4 3.95 48.3
0.45 0 6.2 1 0.51 6.73 66.5 3.65 8 307 17.4 8.05 29
0.33 0 6.2 0 0.51 6.09 61.5 3.65 8 307 17.4 10.88 24
0.52 0 6.2 1 0.51 6.63 76.5 4.15 8 307 17.4 9.54 25.1
0.51 0 6.2 0 0.51 7.36 71.6 4.15 8 307 17.4 4.73 31.5
0.08 30 4.93 0 0.43 6.48 18.5 6.19 6 300 16.6 6.36 23.7
0.09 30 4.93 0 0.43 6.61 42.2 6.19 6 300 16.6 7.37 23.3
0.11 30 4.93 0 0.43 6.9 54.3 6.34 6 300 16.6 11.38 22
0.11 30 4.93 0 0.43 6.1 65.1 6.34 6 300 16.6 12.4 20.1
0.1 30 4.93 0 0.43 6.36 52.9 7.04 6 300 16.6 11.22 22.2
0.13 30 4.93 0 0.43 6.39 7.8 7.04 6 300 16.6 5.19 23.7
0.21 22 5.86 0 0.43 5.59 76.5 7.95 7 330 19.1 12.5 17.6
0.19 22 5.86 0 0.43 5.61 70.2 7.95 7 330 19.1 18.46 18.5
0.34 22 5.86 0 0.43 6.11 34.9 8.06 7 330 19.1 9.16 24.3
0.2 22 5.86 0 0.43 6.23 79.2 8.06 7 330 19.1 10.15 20.5
0.16 22 5.86 0 0.43 6.43 49.1 7.83 7 330 19.1 9.52 24.5
0.19 22 5.86 0 0.43 6.72 17.5 7.83 7 330 19.1 6.56 26.2
0.14 22 5.86 0 0.43 6.49 13 7.4 7 330 19.1 5.9 24.4
0.21 22 5.86 0 0.43 6.44 8.9 7.4 7 330 19.1 3.59 24.8
0.08 22 5.86 0 0.43 6.96 6.8 8.91 7 330 19.1 3.53 29.6
0.37 22 5.86 0 0.43 8.26 8.4 8.91 7 330 19.1 3.54 42.8
0.05 80 3.64 0 0.39 6.11 32 9.22 1 315 16.4 6.57 21.9
0.04 80 3.64 0 0.39 5.88 19.1 9.22 1 315 16.4 9.25 20.9
0.02 90 3.75 0 0.39 7.45 34.2 6.34 3 244 15.9 3.11 44
0.61 20 3.97 0 0.65 8.7 86.9 1.8 5 264 13 5.12 50
0.66 20 3.97 0 0.65 7.33 100 1.89 5 264 13 7.79 36
0.66 20 3.97 0 0.65 6.84 100 2.01 5 264 13 6.9 30.1
0.54 20 3.97 0 0.65 7.2 81.8 2.11 5 264 13 9.59 33.8
0.53 20 3.97 0 0.65 7.52 89.4 2.14 5 264 13 7.26 43.1
0.52 20 3.97 0 0.65 8.4 91.5 2.29 5 264 13 5.91 48.8
0.83 20 3.97 0 0.65 7.33 94.5 2.08 5 264 13 11.25 31
0.55 20 3.97 0 0.65 7.21 91.6 1.93 5 264 13 8.1 36.5
0.76 20 3.97 0 0.65 5.56 62.8 1.99 5 264 13 10.45 22.8
0.79 20 3.97 0 0.65 7.01 84.6 2.13 5 264 13 14.79 30.7
0.58 20 3.97 0 0.58 8.3 67 2.42 5 264 13 7.44 50
0.54 20 3.97 0 0.58 7.47 52.6 2.87 5 264 13 3.16 43.5
0.09 20 6.96 1 0.46 5.92 61.5 3.92 3 223 18.6 13.65 20.7
0.3 20 6.96 0 0.46 5.86 42.1 4.43 3 223 18.6 13 21.1
0.16 20 6.96 0 0.46 6.24 16.3 4.43 3 223 18.6 6.59 25.2
0.11 20 6.96 0 0.46 6.54 58.7 3.92 3 223 18.6 7.73 24.4
0.22 20 6.96 1 0.46 7.69 51.8 4.37 3 223 18.6 6.58 35.2
0.06 40 6.41 1 0.45 6.76 32.9 4.08 4 254 17.6 3.53 32.4
0.1 40 6.41 0 0.45 6.85 42.8 4.27 4 254 17.6 2.98 32
0.1 40 6.41 1 0.45 7.27 49 4.79 4 254 17.6 6.05 33.2
0.06 40 6.41 1 0.45 6.83 27.6 4.86 4 254 17.6 4.16 33.1
0.08 40 6.41 0 0.45 6.48 32.1 4.14 4 254 17.6 7.19 29.1
0.21 20 3.33 0 0.44 6.81 32.2 4.1 5 216 14.9 4.85 35.1
0.04 20 3.33 0 0.44 7.82 64.5 4.69 5 216 14.9 3.76 45.4
0.04 20 3.33 0 0.44 6.97 37.2 5.24 5 216 14.9 4.59 35.4
0.06 20 3.33 1 0.44 7.65 49.7 5.21 5 216 14.9 3.01 46
0.02 90 1.21 1 0.4 7.92 24.8 5.89 1 198 13.6 3.16 50
0.01 90 2.97 0 0.4 7.09 20.8 7.31 1 285 15.3 7.85 32.2
0.01 55 2.25 0 0.39 6.45 31.9 7.31 1 300 15.3 8.23 22
0.02 80 1.76 0 0.39 6.23 31.5 9.09 1 241 18.2 12.93 20.1
0.04 52.5 5.32 0 0.41 6.21 31.3 7.32 6 293 16.6 7.14 23.2
0.05 52.5 5.32 0 0.41 6.32 45.6 7.32 6 293 16.6 7.6 22.3
0.04 52.5 5.32 0 0.41 6.57 22.9 7.32 6 293 16.6 9.51 24.8
0.04 80 4.95 0 0.41 6.86 27.9 5.12 4 245 19.2 3.33 28.5
0.08 80 4.95 0 0.41 7.15 27.7 5.12 4 245 19.2 3.56 37.3
0.04 80 4.95 0 0.41 6.63 23.4 5.12 4 245 19.2 4.7 27.9
0.08 0 13.92 0 0.44 6.13 18.4 5.5 4 289 16 8.58 23.9
0.08 0 13.92 0 0.44 6.01 42.3 5.5 4 289 16 10.4 21.7
0.13 0 13.92 0 0.44 6.68 31.1 5.96 4 289 16 6.27 28.6
0.05 0 13.92 0 0.44 6.55 51 5.96 4 289 16 7.39 27.1
0.14 0 13.92 0 0.44 5.79 58 6.32 4 289 16 15.84 20.3
0.06 70 2.24 0 0.4 6.35 20.1 7.83 5 358 14.8 4.97 22.5
0.06 70 2.24 0 0.4 7.04 10 7.83 5 358 14.8 4.74 29
0.04 70 2.24 0 0.4 6.87 47.4 7.83 5 358 14.8 6.07 24.8
0.04 34 6.09 0 0.43 6.59 40.4 5.49 7 329 16.1 9.5 22
0.09 34 6.09 0 0.43 6.5 18.4 5.49 7 329 16.1 8.67 26.4
0.1 34 6.09 0 0.43 6.98 17.7 5.49 7 329 16.1 4.86 33.1
0.06 33 2.18 0 0.47 7.24 41.1 4.02 7 222 18.4 6.93 36.1
0.05 33 2.18 0 0.47 6.62 58.1 3.37 7 222 18.4 8.93 28.4
0.08 33 2.18 0 0.47 7.42 71.9 3.1 7 222 18.4 6.47 33.4
0.05 33 2.18 0 0.47 6.85 70.3 3.18 7 222 18.4 7.53 28.2
0.49 0 9.9 0 0.54 6.64 82.5 3.32 4 304 18.4 4.54 22.8
0.35 0 9.9 0 0.54 5.97 76.7 3.1 4 304 18.4 9.97 20.3
2.64 0 9.9 0 0.54 4.97 37.8 2.52 4 304 18.4 12.64 16.1
0.79 0 9.9 0 0.54 6.12 52.8 2.64 4 304 18.4 5.98 22.1
0.26 0 9.9 0 0.54 6.02 90.4 2.83 4 304 18.4 11.72 19.4
0.27 0 9.9 0 0.54 6.27 82.8 3.26 4 304 18.4 7.9 21.6
0.37 0 9.9 0 0.54 6.57 87.3 3.6 4 304 18.4 9.28 23.8
0.25 0 9.9 0 0.54 5.71 77.7 3.95 4 304 18.4 11.5 16.2
0.32 0 9.9 0 0.54 5.91 83.2 4 4 304 18.4 18.33 17.8
0.25 0 9.9 0 0.54 5.78 71.7 4.03 4 304 18.4 15.94 19.8
0.4 0 9.9 0 0.54 6.38 67.2 3.53 4 304 18.4 10.36 23.1
0.48 0 9.9 0 0.54 6.11 58.8 4 4 304 18.4 12.73 21
0.17 0 7.38 0 0.49 6.43 52.3 4.54 5 287 19.6 7.2 23.8
0.18 0 7.38 0 0.49 6.38 54.3 4.54 5 287 19.6 6.87 23.1
